,ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,CUSTOMERNAME,COUNTRY,DEALSIZE,Total Order Value
0,10107,30,95.7,2,2871.0,2003-02-24,Shipped,1,2,2003,Motorcycles,95,Land of Toys Inc.,USA,Small,25783.76
1,10121,34,81.35,5,2765.9,2003-05-07,Shipped,2,5,2003,Motorcycles,95,Reims Collectables,France,Small,18971.96
2,10134,41,94.74,2,3884.34,2003-07-01,Shipped,3,7,2003,Motorcycles,95,Lyon Souveniers,France,Medium,25624.88
3,10145,45,83.26,6,3746.7,2003-08-25,Shipped,3,8,2003,Motorcycles,95,Toys4GrownUps.com,USA,Medium,55776.119999999995
4,10159,49,100.0,14,5205.27,2003-10-10,Shipped,4,10,2003,Motorcycles,95,Corporate Gift Ideas Co.,USA,Medium,62498.29
5,10168,36,96.66,1,3479.76,2003-10-28,Shipped,4,10,2003,Motorcycles,95,Technics Stores Inc.,USA,Medium,62305.47
6,10180,29,86.13,9,2497.77,2003-11-11,Shipped,4,11,2003,Motorcycles,95,Daedalus Designs Imports,France,Small,48874.28
7,10188,48,100.0,1,5512.32,2003-11-18,Shipped,4,11,2003,Motorcycles,95,Herkku Gifts,Norway,Medium,34481.340000000004
8,10201,22,98.57,2,2168.54,2003-12-01,Shipped,4,12,2003,Motorcycles,95,Mini Wheels Co.,USA,Small,25431.88
9,10211,41,100.0,14,4708.44,2004-01-15,Shipped,1,1,2004,Motorcycles,95,Auto Canal Petit,France,Medium,51172.65
10,10223,37,100.0,1,3965.66,2004-02-20,Shipped,1,2,2004,Motorcycles,95,"Australian Collectors, Co.",Australia,Medium,49637.57
11,10237,23,100.0,7,2333.12,2004-04-05,Shipped,2,4,2004,Motorcycles,95,Vitachrome Inc.,USA,Small,24804.34
12,10251,28,100.0,2,3188.64,2004-05-18,Shipped,2,5,2004,Motorcycles,95,Tekni Collectables Inc.,USA,Medium,27987.07
13,10263,34,100.0,2,3676.76,2004-06-28,Shipped,2,6,2004,Motorcycles,95,Gift Depot Inc.,USA,Medium,44130.520000000004
14,10275,45,92.83,1,4177.35,2004-07-23,Shipped,3,7,2004,Motorcycles,95,La Rochelle Gifts,France,Medium,56002.9
15,10285,36,100.0,6,4099.68,2004-08-27,Shipped,3,8,2004,Motorcycles,95,Marta's Replicas Co.,USA,Medium,48828.72
16,10299,23,100.0,9,2597.39,2004-09-30,Shipped,3,9,2004,Motorcycles,95,"Toys of Finland, Co.",Finland,Small,42744.06
17,10309,41,100.0,5,4394.38,2004-10-15,Shipped,4,10,2004,Motorcycles,95,Baane Mini Imports,Norway,Medium,19769.68
18,10318,46,94.74,1,4358.04,2004-11-02,Shipped,4,11,2004,Motorcycles,95,Diecast Classics Inc.,USA,Medium,44040.729999999996
19,10329,42,100.0,1,4396.14,2004-11-15,Shipped,4,11,2004,Motorcycles,95,Land of Toys Inc.,USA,Medium,53152.28
20,10341,41,100.0,9,7737.93,2004-11-24,Shipped,4,11,2004,Motorcycles,95,Salzburg Collectables,Austria,Large,45001.11
